Title,Author,Year,Language,CoverType,Links,Price,Discount
Homo Deus,Yuval Noah Harari,2017.0,English,Paperback,https://www.libristo.pl/book/homo-deus-14265602.html,48.68,14
Thus Spoke Zarathustra,Friedrich Nietzsche,0.0,English,Paperback,https://www.libristo.pl/book/thus-spoke-zarathustra-4024234.html,48.5,14
"NKJV, Holy Bible, Larger Print, Paperback",Thomas Nelson,2016.0,English,Paperback,https://www.libristo.pl/book/large-print-bible-nkjv.html,27.14,16
Light on Yoga,B K S Iyengar,1996.0,English,Paperback,https://www.libristo.pl/book/light-on-yoga-4719552.html,107.44,2
Beyond Good and Evil,Friedrich Nietzsche,2014.0,English,Hardback,https://www.libristo.pl/book/beyond-good-and-evil-2715622.html,62.92,15
JPS Hebrew-English TANAKH,Jewish Publication Society Inc,2003.0,English,Paperback,https://www.libristo.pl/book/jps-tanakh.html,129.84,0
Against the Grain,James C. Scott,2018.0,English,Paperback,https://www.libristo.pl/book/against-the-grain-19193376.html,84.95,0
Shake Hands With The Devil,Romeo Dallaire,2005.0,English,Paperback,https://www.libristo.pl/book/shake-hands-with-the-devil.html,62.92,15
Talmud,"Norman Solomon, Norman Solomon",2009.0,English,Paperback,https://www.libristo.pl/book/talmud-4028606.html,90.54,6
Jesus and the Jewish Roots of Mary,Brant James Pitre,2018.0,English,Hardback,https://www.libristo.pl/book/jesus-and-the-jewish-roots-of-the-virgin-mary.html,111.43,6
On the Genealogy of Morals and Ecce Homo,Friedrich Nietzsche,1989.0,English,Paperback,https://www.libristo.pl/book/on-the-genealogy-of-morals-6601075.html,86.46,5
A Conflict of Visions,Thomas Sowell,2007.0,English,Paperback,https://www.libristo.pl/book/a-conflict-of-visions.html,154.24,0
Meditations,Marcus Aurelius,2017.0,English,Paperback,https://www.libristo.pl/book/meditations-15570623.html,37.29,16
Sacred Magic of the Qabbalah,Manly P Hall,2013.0,English,Paperback,https://www.libristo.pl/book/sacred-magic-of-the-qabbalah.html,55.52,0
Apotheosis - The Ultimate Beginner's Guide to Luciferianism & the Left-Hand Path,MICHAEL W FORD,2019.0,English,Paperback,https://www.libristo.pl/book/apotheosis-the-ultimate-beginner-s-gui_24711169.html,151.2,0
Way to Love,Mello De,1996.0,English,Paperback,https://www.libristo.pl/book/way-to-love.html,60.45,20
"NLT Premium Gift Bible, Black",Tyndale,2022.0,English,Hardback,https://www.libristo.pl/book/holy-bible-11052489.html,83.81,16
Neville Goddard,Neville Goddard,2015.0,English,Paperback,https://www.libristo.pl/book/your-inner-conversations-are-creating-your-world.html,139.14,0
Shobogenzo,Dogen,1991.0,English,Paperback,https://www.libristo.pl/book/shobogenzo-6376475.html,139.52,0
D-Day: Then and Now (Volume 1),Winston G Ramsey,1995.0,English,Hardback,https://www.libristo.pl/book/d-day-then-and-now-4176372.html,162.78,12
Symbols of Sacred Science,René Guénon,2004.0,English,Hardback,https://www.libristo.pl/book/symbols-of-sacred-science-7418918.html,223.05,0
Confessions of a Philosopher,Bryan Magee,1999.0,English,Paperback,https://www.libristo.pl/book/confessions-of-a-philosopher-10986172.html,108.58,0
Bussaco 1810,Rene Chartrand,2001.0,English,Paperback,https://www.libristo.pl/book/bussaco-1810.html,102.88,9
Life of Alexander the Great,Plutarch,2004.0,English,Paperback,https://www.libristo.pl/book/life-of-alexander-the-great.html,61.4,6
Culture and Imperialism,Edward W. Said,1994.0,English,Paperback,https://www.libristo.pl/book/culture-and-imperialism.html,62.92,15
Studies in the Way of Words,Paul Grice,1991.0,English,Paperback,https://www.libristo.pl/book/studies-in-the-way-of-words.html,223.62,5
Change or Die,Alan Deutschman,2007.0,English,Paperback,https://www.libristo.pl/book/change-or-die.html,86.46,5
Spitfire II/V vs Bf 109F,Tony Holmes,2017.0,English,Paperback,https://www.libristo.pl/book/spitfire-ii-v-vs-bf-109f.html,73.36,16
Images of the Ice Age,Paul G. Bahn,2016.0,English,Hardback,https://www.libristo.pl/book/images-of-the-ice-age.html,260.07,0
History of Venice,John Julius Norwich,2012.0,English,Paperback,https://www.libristo.pl/book/history-of-venice-1234417.html,88.74,16
Modes of Thought,Alfred North Whitehead,0.0,English,Paperback,https://www.libristo.pl/book/modes-of-thought.html,123.58,0
Introduction to the Study of the Hindu Doctrines,René Guénon,2004.0,English,Hardback,https://www.libristo.pl/book/introduction-to-the-study-of-the-hindu-doctrines-7418917.html,193.15,0
Kabbalah Unveiled,Christian Knorr Von Rosenroth,2012.0,English,Hardback,https://www.libristo.pl/book/kabbalah-unveiled-8884970.html,151.2,0
Generalship of Alexander the Great,JFC Fuller,2004.0,English,Paperback,https://www.libristo.pl/book/generalship-of-alexander-the-great.html,94.72,6
Duns Scotus: Philosophical Writings,John Duns Scotus,0.0,English,Paperback,https://www.libristo.pl/book/philosophical-writings.html,124.34,5
M12 Gun Motor Carriage,DAVID DOYLE,2018.0,English,Paperback,https://www.libristo.pl/book/m12-gun-motor-carriage.html,120.35,2
Secret Doctrine,H  P Blavatsky,2009.0,English,Paperback,https://www.libristo.pl/book/secret-doctrine.html,86.27,5
Rhodesian Light Infantryman 1961-80,Neil Grant,2015.0,English,Paperback,https://www.libristo.pl/book/rhodesian-light-infantryman-1961-80.html,78.49,16
Viking Way,Neil Price,2019.0,English,Hardback,https://www.libristo.pl/book/viking-way.html,212.8,2
Ostkrieg,Stephen G Fritz,2015.0,English,Paperback,https://www.libristo.pl/book/ostkrieg-9182597.html,242.61,0
Nyingma School of Tibetan Buddhism,Dudjom Rinpoche,2002.0,English,Hardback,https://www.libristo.pl/book/nyingma-school-of-tibetan-buddhism.html,408.05,5
Art and Science of Vedic Counseling,"David Frawley, Suhas Kshirsagar",2016.0,English,Paperback,https://www.libristo.pl/book/art-and-science-of-vedic-counseling.html,98.52,2
Salamanca 1812,Ian Fletcher,1997.0,English,Paperback,https://www.libristo.pl/book/salamanca-1812-5114660.html,95.67,10
Hidden Words of Baha'u'llah,Bahá'u'lláh,2004.0,English,Paperback,https://www.libristo.pl/book/hidden-words-5109285.html,44.7,0
D-Day: Then and Now (Volume 2),Winston G Ramsey,1995.0,English,Hardback,https://www.libristo.pl/book/d-day-then-and-now.html,243.75,12
More Money Than God,Sebastian Mallaby,2011.0,English,Paperback,https://www.libristo.pl/book/more-money-than-god-mehr-geld-als-gott-englische-ausgabe.html,85.13,14
Long Discourses of the Buddha,Maurice OC Walshe,1995.0,English,Hardback,https://www.libristo.pl/book/long-discourses-of-the-buddha.html,240.9,5
The Art of Swordsmanship by Hans Leckuchner,Jeffrey L. Forgeng,2018.0,English,Paperback,https://www.libristo.pl/book/art-of-swordsmanship-by-hans-leckuchner-18379515.html,140.09,9
Vimeiro 1808,René Chartrand,2001.0,English,Paperback,https://www.libristo.pl/book/vimeiro-1808.html,102.88,9
Fuentes De Onoro 1811,Rene Chartrand,2002.0,English,Paperback,https://www.libristo.pl/book/fuentes-de-onoro-1811.html,102.88,9
Mere Christianity,C S Lewis,2017.0,English,Hardback,https://www.libristo.pl/book/mere-christianity-16000038.html,68.24,16
Strange Death of Europe,Douglas Murray,2018.0,English,Paperback,https://www.libristo.pl/book/strange-death-of-europe.html,54.0,14
Republic,Plato,2007.0,English,Paperback,https://www.libristo.pl/book/republic-4024647.html,57.99,16
Conversations with Nostradamus:  Volume 3,Dolores Cannon,1994.0,English,Paperback,https://www.libristo.pl/book/conversations-with-nostradamus-10051941.html,81.15,2
Goddesses,Joseph Campbell,2013.0,English,Hardback,https://www.libristo.pl/book/goddesses-1990357.html,120.35,2
Conversations with Nostradamus:  Volume 2,Dolores Cannon,1992.0,English,Paperback,https://www.libristo.pl/book/conversations-with-nostradamus-10009156.html,76.97,1
Falling Upward,Richard Rohr,2013.0,English,Paperback,https://www.libristo.pl/book/falling-upward-1200973.html,63.11,16
Smoke Gets in Your Eyes,Caitlin Doughty,2015.0,English,Paperback,https://www.libristo.pl/book/smoke-gets-in-your-eyes-8211-and-oth.html,50.01,5
Putin's Russia,Anna Politkovskaya,2004.0,English,Paperback,https://www.libristo.pl/book/putin-s-russia.html,57.99,16
Years of Rice and Salt,Kim Stanley Robinson,2003.0,English,Paperback,https://www.libristo.pl/book/years-of-rice-and-salt-9188404.html,53.05,6
The 48 Laws of Power,Robert Greene,2000.0,English,Paperback,https://www.libristo.pl/book/the-48-laws-of-power.html,103.83,11
Meditations,Marcus Aurelius,2006.0,English,Paperback,https://www.libristo.pl/book/meditations-4024582.html,48.12,15
The Daily Stoic,"Ryan Holiday, Stephen Hanselman",2016.0,English,Paperback,https://www.libristo.pl/book/daily-stoic.html,56.85,14
Meditations,Marcus Aurelius,2003.0,English,Paperback,https://www.libristo.pl/book/meditations-2115357.html,46.6,14
The Satanic Bible,Anton Szandor Lavey,1992.0,English,Paperback,https://www.libristo.pl/book/satanic-bible.html,48.12,15
How to Think Like a Roman Emperor,-,2020.0,English,Paperback,https://www.libristo.pl/book/how-to-think-like-a-roman-emperor-the-stoic-philosophy-of-marcus-aurelius_24505457.html,89.4,2
The Myth of Sisyphus,Albert Camus,2005.0,English,Paperback,https://www.libristo.pl/book/myth-of-sisyphus.html,28.09,3
Man's Search for Meaning,Viktor Emil Frankl,2019.0,English,Paperback,https://www.libristo.pl/book/mans-search-for-meaning.html,29.61,3
The Kybalion: Centenary Edition,Three Initiates,2018.0,English,Hardback,https://www.libristo.pl/book/kybalion-centenary-e.html,83.61,4
The Righteous Mind,Jonathan Haidt,2013.0,English,Paperback,https://www.libristo.pl/book/righteous-mind-1284444.html,68.24,16
The Psychology of Selling,Brian Tracy,2006.0,English,Paperback,https://www.libristo.pl/book/psychology-of-selling-2405842.html,63.11,16
Meditations,Marcus Aurelius,2002.0,English,Hardback,https://www.libristo.pl/book/meditations-5194589.html,111.43,6
The Holy Bible - King James Version,Collins KJV Bibles,2001.0,English,Paperback,https://www.libristo.pl/book/holy-bible-4001347.html,44.7,15
The Secret Teachings of All Ages,Manly P. Hall,2010.0,English,Paperback,https://www.libristo.pl/book/secret-teachings-of-all-ages.html,134.21,0
Killers of the Flower Moon,David Grann,2018.0,English,Paperback,https://www.libristo.pl/book/killers-of-the-flower-moon-18309240.html,47.55,16
Witchcraft,Anastasia Greyleaf,2016.0,English,Hardback,https://www.libristo.pl/book/witchcraft-2896139.html,57.99,16
Free Will,Sam Harris,2012.0,English,Paperback,https://www.libristo.pl/book/free-will-1426579.html,42.61,16
